Ob,Judge,Wine,Wine Quality
1,Judge 1,Wine 1,85
2,Judge 2,Wine 1,90
3,Judge 3,Wine 1,88
4,Judge 4,Wine 1,91
5,Judge 5,Wine 1,92
6,Judge 6,Wine 1,89
7,Judge 7,Wine 1,90
8,Judge 8,Wine 1,91
9,Judge 1,Wine 2,88
10,Judge 2,Wine 2,89
11,Judge 3,Wine 2,90
12,Judge 4,Wine 2,93
13,Judge 5,Wine 2,92
14,Judge 6,Wine 2,90
15,Judge 7,Wine 2,91
16,Judge 8,Wine 2,89
17,Judge 1,Wine 3,93
18,Judge 2,Wine 3,94
19,Judge 3,Wine 3,98
20,Judge 4,Wine 3,96
21,Judge 5,Wine 3,95
22,Judge 6,Wine 3,95
23,Judge 7,Wine 3,97
24,Judge 8,Wine 3,98
